,epoch,G_loss,D_loss,F1_score,Precision,Recall
0,0,1.0576927661895752,0.00059830880491063,0.10830032193629435,0.21794871748587766,0.09849091879572422
1,1,0.9817984700202942,5.4321040806826204e-05,0.031892552253219096,0.06219056028899137,0.029230101493442885
2,2,0.9634735584259033,0.00022445636568591,0.0,0.0,0.0
3,3,0.9282684326171875,0.0014254598645493388,0.0,0.0,0.0
4,4,0.9343067407608032,0.001583256060257554,0.0,0.0,0.0
5,5,0.9434115886688232,0.0010671373456716537,0.0,0.0,0.0
6,6,0.9837008118629456,0.0003347036545164883,0.0,0.0,0.0
7,7,1.0395740270614624,0.0007874185685068369,0.0,0.0,0.0
8,8,1.042656660079956,0.0006838150438852608,0.0,0.0,0.0
9,9,0.9921644926071167,9.159449837170541e-05,0.0,0.0,0.0
10,10,1.0375773906707764,0.00031817867420613766,0.0,0.0,0.0
11,11,1.034293532371521,0.000661286583635956,0.0,0.0,0.0
12,12,0.9703889489173889,0.00037320618866942823,0.0,0.0,0.0
13,13,0.986714243888855,0.0001715541584417224,0.0,0.0,0.0
14,14,0.9836910367012024,0.000492739025503397,0.0,0.0,0.0
15,15,0.9794304370880127,0.0004982060054317117,0.0,0.0,0.0
16,16,0.9645264148712158,0.0005816800403408706,0.0,0.0,0.0
17,17,1.0271146297454834,0.00035934109473600984,0.0,0.0,0.0
18,18,1.0256104469299316,0.00025175762129947543,0.0,0.0,0.0
19,19,0.9667646884918213,0.00037581086507998407,0.0,0.0,0.0
